configuration_id,fast_window,slow_window,signal_window,neutral_band,neighbor_count,neighbor_configuration_ids,net_sharpe_ratio,total_turnover,median_neighbor_net_sharpe,minimum_neighbor_net_sharpe,standard_deviation_neighbor_net_sharpe,proportion_neighbors_positive_net_return,proportion_neighbors_positive_break_even,median_neighbor_turnover,mean_absolute_one_step_net_sharpe_difference,mean_absolute_one_step_turnover_difference
f016_s020_m009_b0p00100,16,20,9,0.001,5,f012_s020_m009_b0p00100|f016_s020_m006_b0p00100|f016_s020_m009_b0p00050|f016_s020_m012_b0p00100|f016_s026_m009_b0p00100,-0.848571371317,104,-0.706867041699,-1.03388925637,0.182656422311,0,0,590,0.186172484187,376.8
f016_s020_m012_b0p00000,16,20,12,0,4,f012_s020_m012_b0p00000|f016_s020_m009_b0p00000|f016_s020_m012_b0p00025|f016_s026_m012_b0p00000,-0.357461848271,5101,-0.2866698692,-0.467141369925,0.170713862795,0,0.5,5197,0.170358055637,1134.25
f016_s020_m012_b0p00025,16,20,12,0.00025,5,f012_s020_m012_b0p00025|f016_s020_m009_b0p00025|f016_s020_m012_b0p00000|f016_s020_m012_b0p00050|f016_s026_m012_b0p00025,-0.104411065336,2188,-0.357461848271,-0.709946608848,0.255633837739,0,0.4,3590,0.325503001371,1623
f016_s020_m012_b0p00050,16,20,12,0.0005,5,f012_s020_m012_b0p00050|f016_s020_m009_b0p00050|f016_s020_m012_b0p00025|f016_s020_m012_b0p00100|f016_s026_m012_b0p00050,-0.709946608848,810,-0.194710125401,-0.98782201984,0.375592333912,0,0.6,2164,0.439829809076,1103.2
f016_s020_m012_b0p00100,16,20,12,0.001,4,f012_s020_m012_b0p00100|f016_s020_m009_b0p00100|f016_s020_m012_b0p00050|f016_s026_m012_b0p00100,-0.638132607646,158,-0.681182806645,-0.848571371317,0.0841714390845,0,0,842,0.075251673167,610
f016_s026_m006_b0p00000,16,26,6,0,5,f012_s026_m006_b0p00000|f016_s020_m006_b0p00000|f016_s026_m006_b0p00025|f016_s026_m009_b0p00000|f016_s032_m006_b0p00000,-0.479569194428,6281,-0.478461585225,-0.96107711418,0.276091047404,0,0.2,5911,0.238225802782,1149.8
f016_s026_m006_b0p00025,16,26,6,0.00025,6,f012_s026_m006_b0p00025|f016_s020_m006_b0p00025|f016_s026_m006_b0p00000|f016_s026_m006_b0p00050|f016_s026_m009_b0p00025|f016_s032_m006_b0p00025,-0.368520967471,3100,-0.566083664456,-0.981888556625,0.327331192424,0,0.333333333333,3666,0.3192475298,1587.83333333
f016_s026_m006_b0p00050,16,26,6,0.0005,6,f012_s026_m006_b0p00050|f016_s020_m006_b0p00050|f016_s026_m006_b0p00025|f016_s026_m006_b0p00100|f016_s026_m009_b0p00050|f016_s032_m006_b0p00050,-0.81484506322,1342,-0.466932700829,-0.70057261164,0.114618929638,0,0,1964,0.320780659093,1094.33333333
f016_s026_m006_b0p00100,16,26,6,0.001,5,f012_s026_m006_b0p00100|f016_s020_m006_b0p00100|f016_s026_m006_b0p00050|f016_s026_m009_b0p00100|f016_s032_m006_b0p00100,-0.489840724083,300,-0.952076851168,-1.03388925637,0.159501881614,0,0,630,0.387618811634,531.2
f016_s026_m009_b0p00000,16,26,9,0,6,f012_s026_m009_b0p00000|f016_s020_m009_b0p00000|f016_s026_m006_b0p00000|f016_s026_m009_b0p00025|f016_s026_m012_b0p00000|f016_s032_m009_b0p00000,-0.246654954714,5265,-0.337130770228,-0.479569194428,0.183645062617,0,0.5,5386,0.172665435163,785.833333333
